"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
"316880 TIRADENTES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316890 TIROS";5709,18;5777,27;6707,87;6689,53;8550,04;8096,51;6739,15;7824,59;7651,89;7399,82;8131,93;5597,96;17818,22;13942,77;21833,63;17034,28;15599,64;7737,25;10004,79;10714,51;11331,38;11072,76;221964,97
"316900 TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316905 TOCOS DO MOJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316910 TOLEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316920 TOMBOS";5712,29;6928,11;6951,43;6182,67;11773,98;10638,47;15790,54;15115,26;12513,35;23024,73;17056,41;15150,84;16096,12;12904,51;8585,58;11171,04;9668,10;8554,98;8106,59;16990,66;12590,77;11355,46;262861,89
"316930 TRES CORACOES";764860,42;646854,13;720667,26;689786,44;666184,47;641307,97;617441,55;603341,63;635952,21;537136,28;641974,06;674883,51;693647,02;636218,30;739401,83;734941,40;798179,59;683335,72;586233,04;714380,69;686351,66;775298,39;14888377,57
"316935 TRES MARIAS";113302,04;90773,54;96531,12;82679,13;100848,15;61206,80;86320,99;92836,36;78244,02;80324,60;60857,01;67574,39;94814,06;101861,69;77325,88;68153,52;81672,28;69921,75;68462,57;60936,60;91181,98;68600,93;1794429,41
"316940 TRES PONTAS";503033,57;468208,73;465442,48;500113,77;640483,54;614445,89;558074,19;521630,69;576898,34;558016,32;594219,27;600398,32;662932,13;550000,53;584406,36;795227,81;836945,29;993415,68;894891,83;854864,58;799607,39;581007,38;14154264,09
"316950 TUMIRITINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316960 TUPACIGUARA";54172,35;51639,65;60636,59;55810,03;38986,34;51978,49;77555,02;38607,51;48059,35;50570,93;66198,29;60661,89;78518,54;92724,74;76188,04;63384,25;93107,17;65899,76;67455,64;59009,28;73508,76;63902,96;1388575,58
"316970 TURMALINA";115412,17;130392,98;134092,69;161345,89;108414,23;102174,75;115992,92;109999,23;105687,55;111329,77;118228,87;98823,78;96252,15;102594,29;125907,11;143566,04;112253,24;156082,84;222576,74;168668,67;114891,14;163734,76;2818421,81
"316980 TURVOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316990 UBA";1379650,35;1231338,69;1348071,19;1322231,91;1304765,42;1201962,56;1216936,14;1285938,27;1242963,74;1233615,99;1307826,39;1238980,08;1403732,01;1322412,75;1465852,31;1439390,14;1462834,76;1476242,93;1608988,91;1577865,28;1718407,64;1554207,55;30344215,01
"317000 UBAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317005 UBAPORANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317010 UBERABA";5658621,74;6115491,72;5781196,66;5989902,61;5876859,74;6053376,20;5758002,98;5592007,48;6053481,50;5782189,51;4602786,34;5567960,70;6254891,61;5827695,28;7340670,17;8071636,18;7640745,96;7459554,41;8254211,86;7200418,23;6411393,01;6019138,76;139312232,65
"317020 UBERLANDIA";9300916,62;9155569,20;10758851,45;12580592,87;13491170,42;14289722,94;12259167,25;10749285,85;11448990,90;9860414,60;10952677,28;12308569,73;11264059,48;10874121,92;10891388,29;10973979,30;12433757,06;13054396,65;11861645,75;10503841,76;12146736,69;10777005,38;251936861,39
"317030 UMBURATIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317040 UNAI";268159,63;277391,88;471872,48;687069,57;616557,52;333881,98;569017,01;443390,12;396314,85;384854,08;421193,14;595216,98;674182,44;354098,41;529437,18;436510,57;453337,84;403107,50;541096,57;544450,76;810017,80;584604,54;10795762,85
"317043 UNIAO DE MINAS";15291,76;9510,20;2609,91;2331,13;6222,44;3798,76;4909,05;1713,89;1088,86;1977,68;3084,48;1477,83;1221,60;1264,73;2074,24;590,42;236,50;1160,49;598,42;606,42;-;218,68;61987,49
"317047 URUANA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317050 URUCANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317052 URUCUIA";37910,97;41985,13;19847,86;14618,20;14376,10;40929,38;31963,72;78817,54;21857,70;14482,41;15070,97;22990,88;18243,41;28162,86;20594,37;15571,84;25395,43;18558,96;22924,66;12088,65;20845,62;12891,78;550128,44
"317057 VARGEM ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317060 VARGEM BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317065 VARGEM GRANDE DO RIO PARDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317070 VARGINHA";3928975,93;4781727,04;3642760,63;4150590,02;4521629,40;3986203,14;3731783,75;4165828,70;3915625,18;3537855,08;3535795,15;5139185,81;5367258,17;4743105,76;4934047,03;5805992,24;5061012,33;5004710,85;6495149,50;7228885,12;5797165,14;7078878,43;106554164,40
"317075 VARJAO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317080 VARZEA DA PALMA";190082,63;109769,17;111743,04;106202,68;110295,06;85923,06;87597,98;28246,42;44458,28;40986,32;45860,17;82061,47;113314,88;113529,83;67247,69;96665,49;143346,32;103916,89;78038,39;77177,71;95213,90;-;1931677,38
"317090 VARZELANDIA";33368,69;27665,01;27937,31;27346,54;29211,91;27283,36;23411,31;25254,41;25377,06;20804,46;25290,63;23530,57;21896,64;21157,82;20346,59;17284,01;20250,47;23227,97;41844,61;42533,94;32635,07;30950,67;588609,05
"317100 VAZANTE";44060,31;61718,65;55786,04;48176,78;46252,26;42135,28;43218,90;35367,83;44078,87;43187,33;60550,77;41775,72;60015,66;52141,80;75626,01;73005,98;84675,00;135596,66;87443,30;96950,33;69325,93;-;1301089,41
"317103 VERDELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317107 VEREDINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317110 VERISSIMO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317115 VERMELHO NOVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317120 VESPASIANO";66527,04;92589,34;111924,50;120247,61;102026,06;141382,01;101910,24;98719,24;86370,68;86117,67;81382,81;105996,65;109600,70;114692,11;100734,65;146541,84;111358,12;157479,92;119933,59;152061,83;135213,72;144936,45;2487746,78
"317130 VICOSA";925933,66;1262385,23;1221363,39;1022973,74;971285,72;1060518,86;811372,94;1142540,69;1052341,28;991451,34;976751,15;1071155,29;919592,42;991618,58;1080903,99;1239661,78;1128977,59;1079782,52;846596,06;584802,86;900998,17;653860,66;21936867,92
"317140 VIEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317150 MATHIAS LOBATO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317160 VIRGEM DA LAPA";9052,67;8622,67;9652,06;6239,26;8450,88;6291,87;4995,23;5326,01;7415,12;4883,20;7052,88;9918,45;10276,81;8603,15;11151,32;9295,33;9940,84;8421,57;9556,41;8457,34;-;-;163603,07
"317170 VIRGINIA";11392,38;13353,29;10765,05;13496,23;13108,97;10292,29;14470,53;17689,67;11378,20;9480,17;9956,97;9384,26;11193,46;15014,00;15863,96;11555,82;12681,41;11974,61;12060,55;14025,53;9782,49;-;258919,84
"317180 VIRGINOPOLIS";49513,96;50470,39;27845,88;39407,94;59889,99;59115,79;36054,55;42510,27;32643,16;35782,96;39913,62;47969,94;39022,30;66154,94;42571,24;53124,26;54676,84;48314,74;44402,28;34943,44;61979,79;-;966308,28
"317190 VIRGOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317200 VISCONDE DO RIO BRANCO";433882,48;393136,71;397981,09;348007,64;376937,26;417864,45;347579,97;373219,81;293914,42;363296,04;364337,67;365120,50;411842,43;359301,21;349896,81;356144,83;375937,61;416254,16;365517,99;385131,51;303071,66;328896,12;8127272,37
"317210 VOLTA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317220 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - ES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320010 AFONSO CLAUDIO";59317,02;64272,01;65594,95;64338,55;69413,64;62008,79;59937,32;61350,47;53819,90;64568,54;61432,60;64088,50;67364,07;62492,93;58988,19;67634,71;48081,33;58573,90;47423,81;62680,37;46240,42;41422,13;1311044,15
"320013 AGUIA BRANCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320016 AGUA DOCE DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320020 ALEGRE";50270,77;61152,27;46179,14;55358,36;60058,80;43952,81;44568,16;28730,73;18700,86;20959,37;14055,76;53220,05;47530,98;48525,33;59277,33;42496,16;46043,00;52365,88;52879,26;56547,73;28997,07;-;931869,82
"320030 ALFREDO CHAVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320035 ALTO RIO NOVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320040 ANCHIETA";27920,75;30083,78;30253,47;29583,48;31375,47;27344,54;21126,47;28939,79;21983,75;13914,88;29451,97;27389,49;30149,97;24051,29;40642,12;36096,22;35157,54;36534,29;27945,84;35191,31;-;-;585136,42
"320050 APIACA";-;-;-;-;-;1734,35;5257,03;6647,29;6881,50;5060,98;5464,57;20450,14;54043,35;56654,22;79681,31;80711,22;85531,69;80655,89;82382,06;83833,05;63829,16;62531,78;781349,59
"320060 ARACRUZ";1076210,28;590859,47;622336,91;580193,99;807806,71;672119,05;694927,96;674995,77;714883,28;690260,81;769221,84;559338,18;996908,22;892724,52;721668,95;726284,21;872269,84;768901,89;781066,97;700764,22;738111,02;765449,62;16417303,71
"320070 ATILIO VIVACQUA";3014,31;5568,93;2679,92;4187,22;1930,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17380,86
"320080 BAIXO GUANDU";150773,72;131343,75;105083,50;89973,92;217885,67;186900,35;131886,46;114946,76;183326,28;79811,82;74655,69;42801,20;84947,08;80123,47;78862,81;62471,16;83478,84;101290,69;25084,00;67987,79;68144,93;78839,21;2240619,10
"320090 BARRA DE SAO FRANCISCO";201854,54;258795,07;335352,02;320066,54;288891,36;342185,87;273446,17;223972,43;254414,41;290298,94;251215,38;259644,93;133630,46;288064,74;196383,90;188997,74;-;-;-;-;-;-;4107214,50
"320100 BOA ESPERANCA";9128,73;22598,60;17824,86;25503,37;24275,29;11541,56;20236,69;13060,99;20118,52;14190,42;11982,02;11736,88;16548,62;11723,87;19948,71;28006,50;21495,45;16632,45;11243,75;15468,76;14512,77;17449,80;375228,61
"320110 BOM JESUS DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320115 BREJETUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320120 CACHOEIRO DE ITAPEMIRIM";4812768,62;5344137,63;5065477,46;5413481,33;5514643,26;5903168,25;4671077,95;5331384,97;5106607,99;5700811,93;5736179,17;4706559,38;5701642,15;5683185,44;4888784,48;6093886,99;6141318,76;6701033,70;6173104,02;6196560,27;5657745,27;6123672,98;122667232,00
"320130 CARIACICA";1513639,56;916843,56;2031013,70;1241194,79;987315,17;1566089,79;1469719,23;1075595,78;1118898,49;1093164,37;781852,99;1984768,50;1355579,17;1343845,94;903125,08;1274265,93;893694,79;1054625,02;872335,37;976185,94;2423948,09;1472527,73;28350228,99
"320140 CASTELO";56823,09;42813,66;60013,30;49044,45;54890,55;52123,86;45323,78;44995,20;55467,29;45425,47;50587,85;55132,83;54902,67;54421,43;48985,34;57603,84;49526,54;55793,86;51834,71;40986,53;46033,18;47190,85;1119920,28
"320150 COLATINA";4751486,26;4373948,94;5186758,34;5014372,73;4830922,49;5335650,60;4723210,76;4427613,42;4697844,65;4086004,42;4683487,95;4163344,83;4856309,79;4456524,15;3984783,62;4946518,55;5012212,23;5277709,71;4468369,18;4787245,51;4691361,75;4772847,57;103528527,45
"320160 CONCEICAO DA BARRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320170 CONCEICAO DO CASTELO";5293,79;1959,45;5186,95;3681,03;5516,59;5934,99;3634,99;-;-;-;2139,48;1489,57;3402,01;6847,73;2063,30;3034,65;-;-;-;-;-;-;50184,53
"320180 DIVINO DE SAO LOURENCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320190 DOMINGOS MARTINS";70954,74;87348,97;88806,02;88727,68;86329,57;91659,74;83813,24;93380,77;77753,64;83123,41;74563,71;84070,50;86368,81;89176,47;81278,92;84656,66;80172,18;81950,24;74071,69;92638,25;83129,16;82050,17;1846024,54
"320200 DORES DO RIO PRETO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320210 ECOPORANGA";64958,38;46844,03;40198,52;35233,42;49440,76;34661,21;25595,00;40423,51;28972,28;28367,22;28028,17;29693,47;46215,34;-;-;-;-;-;-;-;-;-;498631,31
"320220 FUNDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320225 GOVERNADOR LINDENBERG";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320230 GUACUI";573059,36;571185,84;629388,42;788060,53;628776,50;630037,54;644132,66;528532,20;609387,10;548383,38;542422,45;481464,07;621257,33;524993,15;773508,28;695586,59;712084,79;774609,73;388835,24;456463,52;606039,61;552984,87;13281193,16
"320240 GUARAPARI";241952,79;243251,77;232702,68;210545,32;211294,42;179462,34;207889,05;158412,09;160608,58;184677,33;244896,83;279558,70;252986,75;296383,94;346027,74;352913,17;451205,33;474719,46;284636,58;210659,36;276704,72;375733,38;5877222,33
"320245 IBATIBA";-;-;-;-;-;324,90;73772,96;29031,80;21061,19;21800,77;29132,64;25081,91;33005,78;26993,12;24478,53;37794,86;30720,50;34936,07;34803,43;27802,05;28309,77;-;479050,28
"320250 IBIRACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320255 IBITIRAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320260 ICONHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320265 IRUPI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320270 ITAGUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320280 ITAPEMIRIM";745458,31;575098,00;714528,90;592668,81;381407,72;483425,12;402058,44;487949,33;623449,65;1021362,63;638797,17;296090,94;976088,03;593992,67;522032,42;786184,16;624105,74;604024,08;299788,87;661889,41;608356,64;758565,73;13397322,77
"320290 ITARANA";15393,41;8934,60;11563,96;13179,83;11200,65;6086,55;5892,31;4616,43;6759,74;6714,42;7138,37;5548,67;8253,17;7848,44;7884,93;16173,51;8394,04;4050,68;9624,63;5725,68;2091,04;3526,32;176601,38
"320300 IUNA";79133,23;68426,95;77227,09;82392,12;63648,29;68741,60;70622,46;52205,28;57953,39;57520,36;62139,63;59075,56;62985,62;62154,57;65459,25;60568,02;59640,40;40691,24;72196,48;54867,35;51210,66;36354,34;1365213,89
"320305 JAGUARE";33978,39;26105,38;30509,53;19833,35;24922,98;18871,50;17755,88;19002,65;27251,58;16722,95;26769,23;17585,74;27912,41;18637,92;24527,75;23854,38;21657,35;22426,41;24561,52;15117,80;-;-;458004,70
"320310 JERONIMO MONTEIRO";221035,99;230819,48;218269,88;276265,14;173434,74;132268,30;163519,81;160026,37;162398,17;157001,32;192310,32;187685,71;158258,28;170549,38;180560,43;187409,89;196783,14;172772,31;197358,18;149596,44;177102,95;111450,26;3976876,49
"320313 JOAO NEIVA";22443,20;20757,93;22784,51;28431,62;28326,79;30826,90;23784,76;19727,79;18203,70;13369,08;17447,27;16803,42;22778,83;11925,32;21532,46;22536,32;22112,19;13311,30;12299,11;9864,80;-;-;399267,30
"320316 LARANJA DA TERRA";14224,40;11131,85;8987,01;6944,61;13855,80;11149,27;5190,86;7034,64;8790,34;10158,32;7633,81;5824,76;8546,81;11777,59;11807,65;8508,52;6139,64;5415,51;10886,32;5117,15;7397,03;7956,56;194478,45
"320320 LINHARES";3197344,48;2539738,01;3635028,14;2675760,28;3020600,48;2842976,54;2535445,20;3701943,12;3194734,70;2245472,50;3002805,40;2268665,92;2591043,75;2913618,11;2332706,73;2466893,25;2810522,22;2414939,79;1979746,20;2151112,37;2072541,55;2892851,43;59486490,17
"320330 MANTENOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320332 MARATAIZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320334 MARECHAL FLORIANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320335 MARILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320340 MIMOSO DO SUL";35021,30;65757,37;65357,67;46339,70;52643,99;56740,94;73856,60;33039,56;47068,89;44954,09;49894,85;43931,52;51262,96;60118,67;49562,21;70803,23;57311,08;55246,52;60425,02;54928,32;39927,09;49782,63;1163974,21
"320350 MONTANHA";50823,69;43481,63;43285,49;45916,48;33488,67;37809,46;38492,04;42085,48;21655,87;23845,05;23124,67;28042,17;38531,44;17002,97;17307,33;19086,33;18342,86;16599,46;17323,52;-;-;-;576244,61
"320360 MUCURICI";14468,93;13307,79;9272,38;5774,10;9194,09;5280,42;9401,03;9266,76;8813,42;1537,86;6252,92;6276,42;13632,85;10321,54;4453,94;5329,09;4963,53;7740,31;8538,65;8092,77;5892,88;4553,53;172365,21
"320370 MUNIZ FREIRE";11759,55;20639,49;12855,10;10435,26;8357,59;17014,68;12072,79;13472,35;11936,70;14863,68;13329,76;7925,77;11944,27;19198,82;12397,47;23023,43;23672,04;18761,24;12560,29;18990,94;25457,83;15284,74;335953,79
"320380 MUQUI";9694,54;10861,14;11608,29;11350,27;9058,88;11979,14;6900,42;9285,88;8737,09;8831,07;6536,75;-;-;-;-;-;-;-;-;-;-;-;104843,47
"320390 NOVA VENECIA";104562,27;103134,70;95831,18;99326,30;96134,65;91595,83;131170,04;84050,53;89571,01;88335,81;87755,53;82285,38;65733,37;98664,06;146628,17;102703,01;111031,27;95889,65;102504,25;107861,95;99281,23;76950,42;2161000,61
"320400 PANCAS";1748,05;2879,02;4464,30;1876,25;4155,75;1865,58;1174,20;1392,16;2572,25;3619,48;3469,03;1581,09;5518,16;3053,90;4732,31;1396,10;292,62;1070,60;942,79;-;2667,24;621,75;51092,63
"320405 PEDRO CANARIO";48733,67;48226,72;51408,53;48493,77;49912,30;48922,55;50021,08;48334,68;46301,28;43943,26;47862,12;45877,82;50867,77;47062,43;44185,14;43500,66;45584,48;39367,62;46123,79;42733,36;43341,18;-;980804,21
"320410 PINHEIROS";20771,45;31128,85;16916,88;15270,35;14987,95;15249,04;18802,25;13705,42;15348,45;12071,86;10781,03;10236,85;10447,57;11885,33;19991,33;10867,15;15816,34;13264,69;12977,01;10237,02;15805,91;8872,12;325434,85
"320420 PIUMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320425 PONTO BELO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320430 PRESIDENTE KENNEDY";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320435 RIO BANANAL";4517,68;12570,51;4212,02;2539,31;1294,39;3243,84;409,00;2673,37;1936,65;1410,04;2859,01;4451,10;1222,19;5514,37;1866,46;5307,81;4676,19;4724,73;1401,08;3131,24;-;-;69960,99
"320440 RIO NOVO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320450 SANTA LEOPOLDINA";170120,93;188788,72;304070,24;374952,09;338682,83;391518,33;289344,77;316468,76;52848,64;112026,57;105787,85;105595,14;360095,43;361762,47;407617,16;335877,04;310568,23;335464,85;267202,64;310544,81;22981,09;10252,23;5472570,82
"320455 SANTA MARIA DE JETIBA";77811,25;64925,50;79527,68;67811,60;66579,69;84501,33;69125,47;66184,44;70621,84;88867,49;88576,38;76242,54;81495,94;101601,38;84399,33;78061,07;50829,48;69885,52;69873,56;58364,03;78649,36;65036,08;1638970,96
"320460 SANTA TERESA";395838,11;390716,38;437806,27;402611,82;441341,40;415828,32;367363,01;377603,00;412554,44;404053,19;398789,76;466759,69;427263,98;371694,30;422241,29;395295,18;401919,17;349124,29;352172,17;394533,20;416122,41;397252,34;8838883,72
"320465 SAO DOMINGOS DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320470 SAO GABRIEL DA PALHA";31354,38;40844,65;7706,80;12534,71;12604,70;10075,67;9311,02;5606,56;8619,01;4469,30;7021,63;5087,37;4753,34;12526,38;9961,62;4245,81;11033,38;11797,55;10245,08;12352,56;7321,72;7158,32;246631,56
"320480 SAO JOSE DO CALCADO";457002,93;403902,02;420472,30;299539,49;583381,84;390097,62;402506,69;149748,40;-;565986,81;312484,27;252721,64;391187,62;445017,87;511735,53;400866,67;-;-;-;-;-;-;5986651,70
"320490 SAO MATEUS";1506515,89;1500918,02;1929401,86;1741437,34;1888827,25;1734128,92;1417862,60;1278258,62;1817188,76;1910333,27;1881263,07;1740658,09;1702842,60;1238304,09;1595288,49;1731954,60;1672955,53;1681916,55;1635918,19;1172248,25;1338912,22;1450991,87;35568126,08
"320495 SAO ROQUE DO CANAA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320500 SERRA";4674912,40;4338616,19;4599130,29;4792683,65;4477696,03;4113601,23;4645670,45;4133308,19;5075367,64;4061337,31;4511507,46;3843535,30;5896799,14;5662425,26;5067134,14;5397014,67;4936991,91;4872400,21;4563884,37;4948087,42;5199542,94;4442061,66;104253707,86
"320501 SOORETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320503 VARGEM ALTA";13859,39;9675,98;13488,48;14356,28;16157,11;13511,73;13964,88;16298,20;13480,98;15615,13;10538,47;12342,77;13210,32;14086,20;13756,49;12126,10;14209,95;11724,56;10903,88;8152,49;12829,98;-;274289,37
"320506 VENDA NOVA DO IMIGRANTE";355780,10;577251,04;526662,74;409099,54;422809,54;505781,77;627560,31;983327,41;357903,48;601221,50;513090,77;489746,30;448743,62;472965,37;507978,67;583098,42;360740,63;380381,62;662558,24;470306,20;519642,77;413224,75;11189874,79
"320510 VIANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320515 VILA PAVAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320517 VILA VALERIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320520 VILA VELHA";6486841,51;7237488,65;7685127,75;7594468,00;7602062,08;8491624,22;6946733,35;7137492,21;7231610,86;6397210,06;7072466,77;8197732,87;8458400,83;7552097,16;7739343,12;7928543,23;6793587,27;8679063,63;7343288,47;7549041,58;7843918,16;6999782,78;164967924,56
"320530 VITORIA";11340302,29;12969135,25;12661789,12;11949675,00;12291179,87;16510897,48;11708744,84;11171591,58;12400059,11;12032189,90;14806281,17;11416160,76;15219199,70;13455561,49;15578732,96;14442898,21;14467720,85;13806774,01;15179213,11;13328726,58;13446205,17;13700875,32;293883913,77
" MUNICIPIO IGNORADO - RJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330010 ANGRA DOS REIS";1137340,84;1293877,72;1246141,51;1360226,16;1009501,72;1038582,80;1125416,25;1437544,69;1288777,87;935532,26;1340163,42;1279901,08;1151293,34;1188812,48;1366286,41;1258883,43;1108591,36;1359150,25;1214101,49;1129613,92;1021096,38;1112728,84;26403564,22
"330015 APERIBE";66310,12;58217,74;66175,30;48842,51;95682,83;34312,25;49781,25;51458,20;81775,56;31999,81;105561,00;96816,35;59358,10;74632,47;60094,45;37179,40;62587,04;18523,56;57802,72;51869,33;-;-;1208979,99
"330020 ARARUAMA";773368,41;814547,71;755889,06;714711,75;845215,02;773082,56;702399,51;773185,18;749185,62;621770,23;880862,85;618752,92;809556,91;650772,74;910372,81;834883,33;815590,76;917982,63;764454,25;955624,70;842640,85;570266,54;17095116,34
"330022 AREAL";9887,24;9143,59;14327,32;11973,61;13690,85;5576,39;6907,80;12429,55;9201,57;7313,03;9946,71;6647,55;8443,92;8906,24;10471,25;11397,84;10534,96;8585,90;9086,82;9595,42;6990,69;5264,06;206322,31
"330023 ARMACAO DOS BUZIOS";206807,38;229784,42;339261,44;292710,84;369320,04;158477,79;281823,46;286104,15;315880,47;170011,21;308717,51;281121,07;325549,85;198366,90;324974,96;438289,39;304897,84;131164,18;257298,18;256485,06;228590,03;260166,02;5965802,19
"330025 ARRAIAL DO CABO";180329,83;158203,26;182796,34;113534,85;98558,57;96944,30;112738,83;150744,88;160630,82;135856,68;125884,64;125712,13;136562,95;130466,43;151536,46;132699,59;136571,36;140829,94;120739,23;131887,32;140106,88;143930,43;3007265,72
"330030 BARRA DO PIRAI";383819,55;307989,31;383535,41;380909,54;356886,15;265151,70;328900,25;7875,89;11941,48;185058,63;495223,28;335611,62;380511,82;260698,43;511661,95;308141,16;402383,38;359450,11;332644,99;311304,94;338844,88;325441,85;6973986,32
"330040 BARRA MANSA";3147078,33;3129099,30;3575586,01;4376216,75;3966864,13;4102241,27;3542270,00;3760434,37;3010789,42;3384464,54;3546706,53;3700734,95;3487584,53;3822324,03;3905265,93;4621272,69;4489787,01;3959425,79;3521496,41;3745276,21;3055454,89;3102695,53;80953068,62
"330045 BELFORD ROXO";770359,41;770864,97;875600,11;913681,00;818710,19;873294,37;756031,66;674069,45;19754,36;29264,62;68476,68;36119,64;131639,64;142955,27;151031,34;121620,10;568007,51;540831,30;784953,66;817456,65;819881,13;838039,86;11522642,92
